"groep_100","jaar","groep_titel","log_index","n_soorten","msi","msi_variant","periode","post_break","log_msi","gam_fit_log","gam_fit_se","gam_fit_msi","gam_fit_lower","gam_fit_upper"
100,1974,"Watervogels",5.27487665493137,13,195.36637754709,"robuust","1958-1983","pre",5.27487665493137,5.30094719593871,0.0670215395949852,200.526658085059,175.841844162834,228.67674525482
100,1975,"Watervogels",5.03311533740455,16,153.410193534181,"robuust","1958-1983","pre",5.03311533740455,5.31374803447885,0.0708259357598849,203.11006708226,176.784097588094,233.356392984402
100,1976,"Watervogels",5.64701914858829,14,283.445296985023,"robuust","1958-1983","pre",5.64701914858829,5.3265488036329,0.0753118991770535,205.726744172977,177.494119936044,238.450114760217
100,1977,"Watervogels",4.85928108274519,16,128.931477716771,"robuust","1958-1983","pre",4.85928108274519,5.33934955770517,0.0803655086630259,208.377128902029,178.008830876223,243.92625711724
100,1978,"Watervogels",5.30614469390445,15,201.57160819321,"robuust","1958-1983","pre",5.30614469390445,5.3521503403944,0.0858867735674478,211.061664668752,178.361477619362,249.756992862616
100,1979,"Watervogels",5.45085350691317,15,232.956911414628,"robuust","1958-1983","pre",5.45085350691317,5.36495118319764,0.0917915109046085,213.780798331226,178.580561052013,255.919398314721
100,1980,"Watervogels",5.37057138052016,15,214.985671241882,"robuust","1958-1983","pre",5.37057138052016,5.3777521048495,0.0980106092079259,216.534980004168,178.689794490785,262.395497734055
100,1981,"Watervogels",5.53013957514124,15,252.179106501656,"robuust","1958-1983","pre",5.53013957514124,5.3905531117656,0.104488119077158,219.32466306248,178.708573554208,269.171796689874
100,1982,"Watervogels",5.42972808069369,15,228.087215673379,"robuust","1958-1983","pre",5.42972808069369,5.40335419938181,0.111179038260441,222.150304345685,178.652626160354,276.238635734267
100,1983,"Watervogels",5.33407777035704,15,207.281499490333,"robuust","1958-1983","pre",5.33407777035704,5.41615535421641,0.1180472230233,225.012364542423,178.534667328999,283.589540084512
100,1984,"Watervogels",5.99031506589166,14,399.540471673658,"robuust","1984-2025","post",5.99031506589166,5.88188847028261,0.178808910103773,358.485592261616,252.502968852813,508.952114278199
100,1985,"Watervogels",5.77598152570665,14,322.460782988988,"robuust","1984-2025","post",5.77598152570665,5.89485687995104,0.146567392689982,363.164856007333,272.485333402499,484.021326916737
100,1986,"Watervogels",5.99264472667961,14,400.472350503035,"robuust","1984-2025","post",5.99264472667961,5.9055896061634,0.123472602206112,367.083596745496,288.179429673505,467.591899783673
100,1987,"Watervogels",5.62278392805023,14,276.658509526917,"robuust","1984-2025","post",5.62278392805023,5.91276669320525,0.108869819940883,369.727664674031,298.68271201286,457.671437037933
100,1988,"Watervogels",5.4895887498169,15,242.157599020552,"robuust","1984-2025","post",5.4895887498169,5.91499604164398,0.100913974909862,370.552835921384,304.053797381554,451.595755066569
100,1989,"Watervogels",6.09252264806784,14,442.53636774618,"robuust","1984-2025","post",6.09252264806784,5.91090282615543,0.0971524358436928,369.039183280644,305.052548491059,446.447405439186
100,1990,"Watervogels",5.69810747233186,15,298.302321024999,"robuust","1984-2025","post",5.69810747233186,5.89922932741309,0.0954933172578407,364.756251872296,302.494297359092,439.833492536837
