"soort_id","euring_code","soort_naam","engelse_naam","analyse_categorie","basisjaar","basisjaar_toelichting","eerste_jaar","laatste_jaar","n_jaren_index","trend_pct_per_jaar","trend_p","trend_r2","trend_uitleg","trendduiding_type","model"
201,13140,"Goudhaan","goldcrest","trim_bruikbaar",1997,"index_100 = eerste analysejaar vanaf eerste positieve jaar",1997,2022,26,4.38982138722399,0.206727852559912,0.0655662908692467,"onzeker","eigen_trendduiding_op_basis_van_trim_index","model2_basis"
203,13350,"Grauwe Vliegenvanger","Spotted Flycatcher","trim_bruikbaar",1997,"index_100 = eerste analysejaar vanaf eerste positieve jaar",1997,2022,26,8.15285238732819,0.00319984934257359,0.34518785590022,"sterke toename","eigen_trendduiding_op_basis_van_trim_index","model2_basis"
207,14370,"Staartmees","long-tailed tit","trim_bruikbaar",1997,"index_100 = eerste analysejaar vanaf eerste positieve jaar",1997,2022,26,-1.80072007868186,0.000253359813007299,0.433888548540699,"lichte afname","eigen_trendduiding_op_basis_van_trim_index","model3_overdisp"
208,14400,"Glanskop","marsh tit","trim_bruikbaar",1997,"index_100 = eerste analysejaar vanaf eerste positieve jaar",1997,2022,26,-1.35207997659909,0.112463358272973,0.101616266065657,"onzeker","eigen_trendduiding_op_basis_van_trim_index","model3_overdisp"
209,14420,"Matkop","Willow Tit","trim_bruikbaar",1997,"index_100 = eerste analysejaar vanaf eerste positieve jaar",1997,2022,26,-25.8213710328088,4.55379451778882e-05,0.762371541235794,"sterke afname","eigen_trendduiding_op_basis_van_trim_index","model2_basis"
210,14540,"Kuifmees","crested tit","trim_bruikbaar",1997,"index_100 = eerste analysejaar vanaf eerste positieve jaar",1997,2022,26,-0.183624816185013,0.916454274369118,0.000468049880588659,"stabiel","eigen_trendduiding_op_basis_van_trim_index","model3_overdisp"
212,14610,"Zwarte Mees","coal tit","trim_bruikbaar",1997,"index_100 = eerste analysejaar vanaf eerste positieve jaar",1997,2022,26,-5.09958672840038,0.16402043531106,0.0861071875344353,"onzeker","eigen_trendduiding_op_basis_van_trim_index","model2_basis"
213,14620,"Pimpelmees","blue tit","trim_bruikbaar",1997,"index_100 = eerste analysejaar vanaf eerste positieve jaar",1997,2022,26,-0.63503820132158,0.0286366874488392,0.184277835865196,"lichte afname","eigen_trendduiding_op_basis_van_trim_index","model3_overdisp"
214,14640,"Koolmees","great tit","trim_bruikbaar",1997,"index_100 = eerste analysejaar vanaf eerste positieve jaar",1997,2022,26,0.0485816821734986,0.848697868693336,0.00154725811021356,"stabiel","eigen_trendduiding_op_basis_van_trim_index","model3_overdisp"
215,14790,"Boomklever","nuthatch","trim_bruikbaar",1997,"index_100 = eerste analysejaar vanaf eerste positieve jaar",1997,2022,26,4.67711121977112,0.0023034301590677,0.326303872153461,"matige toename","eigen_trendduiding_op_basis_van_trim_index","model3_overdisp"
217,14870,"Boomkruiper","short-toed treecreeper","trim_bruikbaar",1997,"index_100 = eerste analysejaar vanaf eerste positieve jaar",1997,2022,26,5.94014148290274,1.36691725497821e-11,0.856079959620225,"sterke toename","eigen_trendduiding_op_basis_van_trim_index","model3_overdisp"
218,15080,"Wielewaal","golden oriole","trim_bruikbaar",1997,"index_100 = eerste analysejaar vanaf eerste positieve jaar",1997,2022,26,-3.83987633263747,0.128460193014698,0.0936245870403817,"onzeker","eigen_trendduiding_op_basis_van_trim_index","model2_basis"
222,15390,"Gaai","jay","trim_bruikbaar",1997,"index_100 = eerste analysejaar vanaf eerste positieve jaar",1997,2022,26,-2.30830476068086,1.84198941219408e-05,0.541336527580547,"matige afname","eigen_trendduiding_op_basis_van_trim_index","model3_overdisp"
223,15490,"Ekster","magpie","trim_bruikbaar",1997,"index_100 = eerste analysejaar vanaf eerste positieve jaar",1997,2022,26,-10.0473357026496,4.31993783600958e-11,0.84169805782495,"sterke afname","eigen_trendduiding_op_basis_van_trim_index","model3_overdisp"
224,15600,"Kauw","jackdaw","trim_bruikbaar",1997,"index_100 = eerste analysejaar vanaf eerste positieve jaar",1997,2022,26,-17.6108738139032,1.27733758664533e-06,0.630722671217544,"sterke afname","eigen_trendduiding_op_basis_van_trim_index","model2_basis"
226,15671,"Zwarte Kraai","carrion crow","trim_bruikbaar",1997,"index_100 = eerste analysejaar vanaf eerste positieve jaar",1997,2022,26,-5.29013972265276,2.16701632479873e-13,0.897924650568512,"sterke afname","eigen_trendduiding_op_basis_van_trim_index","model3_overdisp"
